,Region,Country,State,City,Month,Day,Year,AvgTemperature
0,Africa,Algeria,,Algiers,1,1,2020,46.3
1,Africa,Algeria,,Algiers,1,2,2020,45.4
2,Africa,Algeria,,Algiers,1,3,2020,48.0
3,Africa,Algeria,,Algiers,1,4,2020,53.4
4,Africa,Algeria,,Algiers,1,5,2020,47.3
5,Africa,Algeria,,Algiers,1,6,2020,45.9
6,Africa,Algeria,,Algiers,1,7,2020,47.0
7,Africa,Algeria,,Algiers,1,8,2020,53.2
8,Africa,Algeria,,Algiers,1,9,2020,52.9
9,Africa,Algeria,,Algiers,1,10,2020,52.4
10,Africa,Algeria,,Algiers,1,11,2020,49.7
11,Africa,Algeria,,Algiers,1,12,2020,49.8
12,Africa,Algeria,,Algiers,1,13,2020,50.6
13,Africa,Algeria,,Algiers,1,14,2020,46.7
14,Africa,Algeria,,Algiers,1,15,2020,45.7
15,Africa,Algeria,,Algiers,1,16,2020,46.6
16,Africa,Algeria,,Algiers,1,17,2020,48.7
17,Africa,Algeria,,Algiers,1,18,2020,50.1
18,Africa,Algeria,,Algiers,1,19,2020,53.5
19,Africa,Algeria,,Algiers,1,20,2020,54.3
20,Africa,Algeria,,Algiers,1,21,2020,59.3
21,Africa,Algeria,,Algiers,1,22,2020,59.2
22,Africa,Algeria,,Algiers,1,23,2020,53.4
23,Africa,Algeria,,Algiers,1,24,2020,49.8
24,Africa,Algeria,,Algiers,1,25,2020,56.6
25,Africa,Algeria,,Algiers,1,26,2020,54.1
26,Africa,Algeria,,Algiers,1,27,2020,53.7
27,Africa,Algeria,,Algiers,1,28,2020,52.7
28,Africa,Algeria,,Algiers,1,29,2020,55.0
29,Africa,Algeria,,Algiers,1,30,2020,52.4
30,Africa,Algeria,,Algiers,1,31,2020,54.5
31,Africa,Algeria,,Algiers,2,1,2020,55.5
32,Africa,Algeria,,Algiers,2,2,2020,57.1
33,Africa,Algeria,,Algiers,2,3,2020,56.5
34,Africa,Algeria,,Algiers,2,4,2020,59.8
35,Africa,Algeria,,Algiers,2,5,2020,54.0
